Distance,Duration
0.00,0:00
15.26,0:22
14.93,0:17
23.42,0:33
9.49,0:12
5.69,0:08
15.61,0:23
24.10,0:34
32.46,0:44
20.96,0:25
7.27,0:12
3.86,0:09
19.15,0:28
14.18,0:18
85.20,1:12
23.76,0:33
9.25,0:12
11.99,0:19
4.60,0:10
14.88,0:21
18.95,0:26
39.19,0:54
17.47,0:24
39.92,0:32
21.84,0:36
3.39,0:09
14.79,0:20
4.31,0:11
2.75,0:08
9.56,0:12
13.75,0:16
6.70,0:10
17.38,0:26
19.75,0:30
10.22,0:15
0.00,0:00
8.28,0:14
20.81,0:35
12.52,0:18
8.17,0:13
7.84,0:10
22.73,0:29
9.80,0:16
14.79,0:20
15.45,0:22
24.09,0:33
23.95,0:28
19.87,0:25
17.14,0:26
16.33,0:24
2.01,0:05
23.70,0:34
17.75,0:25
11.52,0:18
6.37,0:09
12.87,0:17
9.92,0:17
7.27,0:12
14.79,0:19
16.89,0:23
3.84,0:09
17.92,0:21
18.31,0:29
20.27,0:27
6.09,0:09
14.32,0:18
16.30,0:22
15.83,0:23
8.90,0:12
2.81,0:07
12.34,0:16
6.97,0:15
14.88,0:21
36.88,0:34
18.52,0:23
2.34,0:05
26.80,0:39
35.96,0:49
17.86,0:27
24.02,0:30
21.67,0:29
8.90,0:12
37.06,0:31
5.80,0:12
17.54,0:24
16.77,0:24
21.59,0:35
7.41,0:10
8.57,0:14
21.59,0:35
11.18,0:14
9.38,0:17
3.67,0:09
8.23,0:11
2.63,0:07
32.58,0:46
5.48,0:08
7.76,0:13
3.02,0:08
7.78,0:11
40.71,0:35
7.41,0:10
20.95,0:26
15.16,0:22
24.76,0:28
31.94,0:42
15.51,0:22
0.00,0:00
17.55,0:23
8.25,0:18
19.71,0:25
15.92,0:21
1.21,0:05
7.16,0:15
10.83,0:24
11.75,0:19
16.03,0:24
17.36,0:23
3.78,0:10
15.31,0:24
94.27,1:25
6.82,0:15
19.48,0:25
2.77,0:09
9.74,0:19
3.65,0:09
4.50,0:13
24.02,0:39
4.30,0:11
48.98,0:44
6.84,0:16
15.32,0:26
2.17,0:08
10.22,0:20
13.92,0:22
19.79,0:25
10.86,0:18
15.47,0:23
2.38,0:06
4.74,0:10
5.62,0:14
15.51,0:22
12.94,0:22
5.81,0:15
3.50,0:08
12.48,0:20
20.47,0:25
8.38,0:20
18.59,0:27
2.17,0:08
0.44,0:02
7.19,0:16
9.65,0:21
