Latitude (y),Longitude (x)
25.6865137,-100.2739976
25.7433246,-100.3545548
25.6259766,-100.3040010
25.7637822,-100.4082355
25.6369853,-100.2874034
25.6649542,-100.2953957
25.7465622,-100.3473322
25.7717833,-100.4039948
25.8002997,-100.4110857
25.7425771,-100.4049836
25.6492493,-100.3028621
25.6780351,-100.2992577
25.7546330,-100.3824950
25.6297501,-100.3375475
25.2127681,-99.8325800
25.7699915,-100.3986161
25.6470450,-100.2856077
25.7387200,-100.3333461
25.7013430,-100.2986862
25.7253013,-100.3591209
25.7325628,-100.3830169
25.8178916,-100.5373418
25.7427168,-100.3797585
25.4300108,-100.1508695
25.7825339,-100.3933068
25.6914273,-100.2928825
25.7396138,-100.3392873
25.6943080,-100.3042185
25.6966125,-100.2902852
25.6385131,-100.2856473
25.6719931,-100.3669990
25.6559027,-100.3022690
25.7563330,-100.3621005
25.7599235,-100.3872246
25.7336326,-100.3207445
25.6865137,-100.2739976
25.6579827,-100.3265621
25.7814793,-100.3798753
25.7351037,-100.3346325
25.6607797,-100.3272415
25.6379841,-100.2729656
25.7548245,-100.4059526
25.6301968,-100.2907933
25.7395696,-100.3392613
25.7421525,-100.3577074
25.7702251,-100.4041951
25.7553790,-100.4205468
25.7259173,-100.4003178
25.7461751,-100.3707675
25.7532298,-100.3520294
25.6844232,-100.2887965
25.7676482,-100.3954121
25.7256291,-100.3764684
25.7408677,-100.3247693
25.6519962,-100.2795403
25.7139100,-100.3443278
25.7154147,-100.2050209
25.6492493,-100.3028621
25.7241450,-100.3615627
25.7177288,-100.3726234
25.6914807,-100.3017996
25.5832941,-100.2492319
25.7629100,-100.3633512
25.7435749,-100.3869804
25.6596456,-100.2999489
25.7216485,-100.3606910
25.7169158,-100.3647423
25.7461782,-100.3520905
25.6315552,-100.2746911
25.7004023,-100.2629422
25.7253709,-100.3415492
25.7015208,-100.3314757
25.7253013,-100.3591209
25.4240929,-100.1536179
25.7257930,-100.3843201
25.6874132,-100.2888193
25.7822689,-100.4365748
25.7922801,-100.5194317
25.7582011,-100.3718269
25.7575003,-100.4060833
25.7579500,-100.3871574
25.6315552,-100.2746911
25.4226000,-100.1502883
25.6984067,-100.3167065
25.5772288,-100.2805574
25.7540662,-100.3650584
25.7831808,-100.3906760
25.6449373,-100.2789318
25.6593767,-100.3296811
25.7831808,-100.3906760
25.6777469,-100.3489304
25.7016064,-100.3436402
25.6912675,-100.3001195
25.6716999,-100.3264576
25.6999327,-100.2853152
25.7781147,-100.4899692
25.6692632,-100.3015498
25.6517510,-100.3090539
25.7005720,-100.2588323
25.6465658,-100.2941213
25.3918689,-100.1283014
25.6449373,-100.2789318
25.7374785,-100.4086549
25.7452562,-100.3436692
25.7625497,-100.4254845
25.7997714,-100.4124732
