,0,1,2
0,0.0,23.0,1.0
1,0.0,28.0,1.0
2,0.0,29.0,1.0
3,0.0,30.0,1.0
4,0.0,40.0,1.0
5,1.0,22.0,2.0
6,1.0,27.0,1.0
7,1.0,30.0,1.0
8,1.0,32.0,1.0
9,1.0,33.0,1.0
10,1.0,53.0,1.0
11,2.0,17.0,1.0
12,2.0,25.0,1.0
13,2.0,30.0,1.0
14,3.0,22.0,1.0
15,3.0,26.0,1.0
16,3.0,28.0,1.0
17,3.0,30.0,1.0
18,3.0,40.0,1.0
19,4.0,19.0,1.0
20,4.0,22.0,1.0
21,4.0,23.0,2.0
22,4.0,40.0,1.0
23,4.0,45.0,1.0
24,5.0,23.0,2.0
25,5.0,27.0,2.0
26,5.0,28.0,1.0
27,5.0,30.0,1.0
28,5.0,40.0,1.0
29,6.0,35.0,1.0
30,7.0,17.0,1.0
31,7.0,20.0,1.0
32,7.0,22.0,1.0
33,7.0,24.0,1.0
34,7.0,29.0,1.0
35,7.0,30.0,2.0
36,7.0,40.0,1.0
37,8.0,22.0,1.0
38,8.0,25.0,1.0
39,8.0,26.0,1.0
40,9.0,19.0,1.0
41,9.0,23.0,1.0
42,9.0,26.0,1.0
43,9.0,27.0,1.0
44,9.0,29.0,1.0
45,9.0,32.0,1.0
46,9.0,40.0,1.0
47,10.0,22.0,1.0
48,10.0,23.0,1.0
49,10.0,40.0,1.0
50,10.0,52.0,1.0
51,11.0,15.0,1.0
52,11.0,24.0,2.0
53,11.0,26.0,1.0
54,11.0,31.0,1.0
55,11.0,40.0,1.0
56,11.0,45.0,1.0
57,12.0,22.0,2.0
58,12.0,30.0,1.0
59,12.0,40.0,1.0
60,13.0,18.0,1.0
61,13.0,19.0,1.0
62,13.0,23.0,1.0
63,13.0,30.0,2.0
64,13.0,33.0,1.0
65,13.0,50.0,2.0
66,14.0,13.0,1.0
67,14.0,27.0,1.0
68,14.0,30.0,1.0
69,14.0,33.0,1.0
70,14.0,39.0,1.0
71,14.0,45.0,1.0
72,15.0,15.0,1.0
73,15.0,19.0,1.0
74,15.0,29.0,1.0
75,15.0,30.0,1.0
76,15.0,35.0,1.0
77,16.0,21.0,2.0
78,16.0,27.0,1.0
79,16.0,28.0,1.0
80,16.0,29.0,1.0
81,17.0,24.0,2.0
82,17.0,25.0,1.0
83,17.0,27.0,1.0
84,18.0,21.0,1.0
85,18.0,23.0,1.0
86,18.0,27.0,1.0
87,18.0,35.0,1.0
88,19.0,19.0,1.0
89,19.0,20.0,1.0
90,19.0,26.0,1.0
91,19.0,27.0,1.0
92,19.0,40.0,1.0
93,19.0,50.0,2.0
94,20.0,20.0,2.0
95,20.0,21.0,1.0
96,20.0,23.0,1.0
97,20.0,26.0,1.0
98,20.0,27.0,1.0
99,20.0,29.0,1.0
100,20.0,30.0,1.0
101,20.0,31.0,1.0
102,21.0,19.0,1.0
103,21.0,22.0,1.0
104,21.0,28.0,1.0
105,21.0,29.0,1.0
106,21.0,50.0,1.0
107,22.0,13.0,1.0
108,22.0,26.0,1.0
109,22.0,40.0,1.0
110,22.0,50.0,1.0
111,23.0,13.0,1.0
112,23.0,18.0,1.0
113,23.0,23.0,1.0
114,23.0,26.0,1.0
115,23.0,27.0,2.0
116,23.0,28.0,1.0
117,23.0,32.0,1.0
118,23.0,50.0,1.0
119,24.0,22.0,1.0
120,24.0,23.0,1.0
121,24.0,28.0,1.0
122,24.0,35.0,1.0
123,25.0,22.0,1.0
124,25.0,25.0,1.0
125,25.0,26.0,1.0
126,25.0,29.0,1.0
127,25.0,33.0,1.0
128,25.0,35.0,2.0
129,25.0,38.0,1.0
130,25.0,40.0,1.0
131,25.0,50.0,1.0
132,26.0,19.0,2.0
133,26.0,22.0,1.0
134,26.0,26.0,1.0
135,26.0,30.0,1.0
136,26.0,32.0,1.0
137,26.0,40.0,1.0
138,27.0,20.0,1.0
139,27.0,24.0,1.0
140,27.0,26.0,2.0
141,28.0,22.0,1.0
142,28.0,23.0,2.0
143,28.0,26.0,2.0
144,28.0,28.0,1.0
145,28.0,29.0,1.0
146,28.0,35.0,1.0
147,28.0,40.0,1.0
148,28.0,50.0,1.0
149,29.0,24.0,1.0
150,30.0,17.0,1.0
151,30.0,19.0,1.0
152,30.0,22.0,1.0
153,30.0,24.0,2.0
154,30.0,25.0,2.0
155,30.0,26.0,1.0
156,30.0,31.0,1.0
157,30.0,50.0,1.0
158,31.0,26.0,1.0
159,32.0,13.0,1.0
160,32.0,26.0,1.0
161,32.0,31.0,1.0
162,32.0,33.0,1.0
163,33.0,24.0,1.0
164,33.0,26.0,1.0
165,33.0,45.0,1.0
166,33.0,53.0,1.0
167,34.0,22.0,1.0
168,34.0,26.0,1.0
169,34.0,27.0,1.0
170,34.0,30.0,1.0
171,34.0,50.0,1.0
172,35.0,23.0,1.0
173,35.0,25.0,1.0
174,35.0,30.0,2.0
175,35.0,32.0,2.0
176,35.0,40.0,1.0
177,36.0,21.0,1.0
178,36.0,22.0,3.0
179,36.0,25.0,1.0
180,36.0,30.0,1.0
181,36.0,31.0,1.0
182,37.0,24.0,1.0
183,37.0,26.0,1.0
184,37.0,31.0,1.0
185,37.0,33.0,1.0
186,37.0,50.0,1.0
187,38.0,19.0,1.0
188,38.0,21.0,1.0
189,38.0,22.0,1.0
190,38.0,24.0,1.0
191,38.0,25.0,1.0
192,38.0,26.0,2.0
193,38.0,27.0,1.0
194,38.0,28.0,1.0
195,38.0,29.0,1.0
196,40.0,20.0,1.0
197,40.0,25.0,1.0
198,40.0,45.0,1.0
199,41.0,23.0,1.0
200,41.0,26.0,1.0
201,41.0,30.0,2.0
202,41.0,40.0,1.0
203,41.0,45.0,1.0
204,42.0,19.0,1.0
205,42.0,32.0,1.0
206,43.0,28.0,1.0
207,43.0,30.0,1.0
208,44.0,21.0,1.0
209,44.0,22.0,1.0
210,44.0,28.0,1.0
211,44.0,30.0,1.0
212,44.0,38.0,1.0
213,44.0,50.0,1.0
214,45.0,24.0,1.0
215,45.0,40.0,1.0
216,45.0,50.0,1.0
217,46.0,19.0,1.0
218,46.0,23.0,1.0
219,46.0,28.0,1.0
220,47.0,23.0,1.0
221,47.0,26.0,2.0
222,47.0,50.0,1.0
223,47.0,53.0,1.0
224,48.0,27.0,1.0
225,48.0,30.0,1.0
226,48.0,32.0,2.0
227,49.0,17.0,1.0
228,49.0,21.0,1.0
229,49.0,31.0,1.0
230,49.0,45.0,1.0
231,49.0,50.0,1.0
232,50.0,20.0,1.0
233,50.0,22.0,1.0
234,50.0,25.0,1.0
235,50.0,28.0,1.0
236,50.0,30.0,1.0
237,50.0,31.0,1.0
238,51.0,18.0,2.0
239,51.0,21.0,2.0
240,51.0,24.0,1.0
241,51.0,26.0,2.0
242,51.0,27.0,1.0
243,51.0,28.0,1.0
244,51.0,50.0,1.0
245,52.0,45.0,1.0
246,53.0,21.0,1.0
247,53.0,22.0,1.0
248,53.0,23.0,1.0
249,53.0,24.0,1.0
250,53.0,27.0,1.0
251,53.0,35.0,1.0
252,54.0,20.0,1.0
253,54.0,25.0,1.0
254,54.0,28.0,3.0
255,54.0,32.0,1.0
256,54.0,45.0,1.0
257,55.0,24.0,2.0
258,55.0,30.0,3.0
259,55.0,53.0,1.0
260,56.0,19.0,1.0
261,56.0,30.0,2.0
262,56.0,45.0,1.0
263,56.0,50.0,1.0
264,57.0,24.0,1.0
265,57.0,26.0,1.0
266,57.0,27.0,1.0
267,57.0,28.0,2.0
268,58.0,18.0,1.0
269,58.0,24.0,1.0
270,58.0,27.0,1.0
271,58.0,35.0,2.0
272,59.0,23.0,2.0
273,59.0,26.0,3.0
274,59.0,28.0,1.0
275,59.0,30.0,1.0
276,60.0,24.0,1.0
277,60.0,30.0,1.0
278,61.0,19.0,1.0
279,61.0,26.0,1.0
280,61.0,27.0,1.0
281,61.0,35.0,1.0
282,61.0,40.0,1.0
283,62.0,18.0,1.0
284,62.0,23.0,1.0
285,62.0,25.0,1.0
286,62.0,53.0,1.0
287,63.0,23.0,1.0
288,63.0,24.0,1.0
289,63.0,35.0,1.0
290,63.0,50.0,1.0
291,64.0,25.0,2.0
292,64.0,31.0,1.0
293,64.0,50.0,1.0
294,65.0,19.0,1.0
295,66.0,23.0,1.0
296,66.0,32.0,1.0
297,66.0,35.0,1.0
298,67.0,30.0,1.0
299,67.0,50.0,1.0
300,68.0,22.0,2.0
301,68.0,23.0,1.0
